Order ID,PII/TPA,DOI,Source Title,Download SI,Source ID
100572984,20249000000000.0,10.1039/d4ta00356j,Journal of Materials Chemistry A,Yes,314729299
100573512,20249000000000.0,10.1039/d3ta06881a,Journal of Materials Chemistry A,Yes,314729299
100573522,20249000000000.0,10.1039/d3ta08086b,Journal of Materials Chemistry A,Yes,314729299
100859063,20249000000000.0,10.1039/d3tb02979d,Journal of Materials Chemistry B,Yes,314729599
100947621,20249000000000.0,10.1039/d3tb02318d,Journal of Materials Chemistry B,Yes,314729599
101084333,20249000000000.0,10.1039/d3tb02961a,Journal of Materials Chemistry B,Yes,314729599
101232213,20249000000000.0,10.1039/d3tb02875e,Journal of Materials Chemistry B,Yes,314729599
100522313,20249000000000.0,10.1055/s-0043-1763675,Synthesis (Germany),Yes,76648099
101229035,20239000000000.0,10.1055/a-2236-0209,Synthesis (Germany),Yes,76648099
101365216,20249000000000.0,10.1039/d3ta07695d,Journal of Materials Chemistry A,Yes,314729299
101365222,20249000000000.0,10.1039/d3tb02762g,Journal of Materials Chemistry B,Yes,314729599
101365225,20249000000000.0,10.1039/d4ta00385c,Journal of Materials Chemistry A,Yes,314729299
101365228,20249000000000.0,10.1039/d3ta08073k,Journal of Materials Chemistry A,Yes,314729299
101365235,20249000000000.0,10.1039/d4ta00592a,Journal of Materials Chemistry A,Yes,314729299
101590430,20200000000000.0,10.1055/a-2270-3973,Synthesis (Germany),Yes,76648099
101590445,20200000000000.0,10.1055/a-2066-0860,Synlett,Yes,77257299
101590516,20200000000000.0,10.1055/s-0041-1738440,Synthesis (Germany),Yes,76648099
100390351,20200000000000.0,10.1055/a-2272-8163,Synlett,Yes,77257299
100402983,20200000000000.0,10.1055/a-2272-8045,Synlett,Yes,77257299
100409041,20200000000000.0,10.1055/a-2269-7680,Synlett,Yes,77257299
